Defect_Category,Cohort,Months 1-2,Months 3-4,Months 5-6,Months 7-8,Months 9-10,Months 11-12,Months 13-14,Months 15-16,Months 17-18,Months 19-20,Months 21-22,Months 23-24,Months 25-26,Months 27-28,Months 29-30,Months 31-32,Months 33-34,Months 35-36
Neck,Age 6,0.0000 (N=54),0.0000 (N=53),0.0000 (N=41),0.2750 (N=40),0.6098 (N=41),0.6750 (N=40),0.8250 (N=40),0.7250 (N=40),0.4348 (N=23),0.3103 (N=29),0.2812 (N=32),0.2000 (N=15),0.8571 (N=7),0.1250 (N=8),0.0000 (N=6),0.0000 (N=7),0.0000 (N=7),0.0000 (N=6)
Neck,Age 7,0.2714 (N=70),0.1846 (N=65),0.0213 (N=47),0.0968 (N=62),0.1186 (N=59),0.2558 (N=43),0.3725 (N=51),0.2727 (N=55),0.0833 (N=36),0.1111 (N=27),0.6829 (N=41),0.5417 (N=24),0.4848 (N=33),0.1765 (N=34),0.0000 (N=13),0.0000 (N=23),0.0000 (N=26),0.0000 (N=15)
Bow hold,Age 6,0.3704 (N=54),0.0566 (N=53),0.0244 (N=41),0.2000 (N=40),0.1220 (N=41),0.0500 (N=40),0.0000 (N=40),0.0250 (N=40),0.0435 (N=23),0.1379 (N=29),0.0312 (N=32),0.1333 (N=15),0.0000 (N=7),0.0000 (N=8),0.0000 (N=6),0.0000 (N=7),0.0000 (N=7),0.0000 (N=6)
Bow hold,Age 7,0.2143 (N=70),0.0462 (N=65),0.0638 (N=47),0.1129 (N=62),0.0508 (N=59),0.0465 (N=43),0.0392 (N=51),0.0000 (N=55),0.0556 (N=36),0.0370 (N=27),0.0976 (N=41),0.0417 (N=24),0.0303 (N=33),0.0000 (N=34),0.0000 (N=13),0.0000 (N=23),0.0000 (N=26),0.0000 (N=15)
Elbow,Age 6,0.1296 (N=54),0.0566 (N=53),0.0976 (N=41),0.1250 (N=40),0.0000 (N=41),0.0750 (N=40),0.0250 (N=40),0.2000 (N=40),0.2174 (N=23),0.1724 (N=29),0.2188 (N=32),0.0667 (N=15),0.0000 (N=7),0.0000 (N=8),0.0000 (N=6),0.0000 (N=7),0.0000 (N=7),0.0000 (N=6)
Elbow,Age 7,0.2429 (N=70),0.0923 (N=65),0.0426 (N=47),0.0000 (N=62),0.0678 (N=59),0.1395 (N=43),0.1373 (N=51),0.1273 (N=55),0.0278 (N=36),0.0370 (N=27),0.1463 (N=41),0.2083 (N=24),0.0909 (N=33),0.2353 (N=34),0.0000 (N=13),0.0870 (N=23),0.0385 (N=26),0.2000 (N=15)
Wrist,Age 6,0.1481 (N=54),0.0000 (N=53),0.0000 (N=41),0.0000 (N=40),0.0000 (N=41),0.0000 (N=40),0.0000 (N=40),0.0000 (N=40),0.0000 (N=23),0.0000 (N=29),0.0000 (N=32),0.0000 (N=15),0.0000 (N=7),0.0000 (N=8),0.0000 (N=6),0.1429 (N=7),0.0000 (N=7),0.0000 (N=6)
Wrist,Age 7,0.1571 (N=70),0.0000 (N=65),0.0000 (N=47),0.0000 (N=62),0.0000 (N=59),0.0698 (N=43),0.0000 (N=51),0.0000 (N=55),0.0000 (N=36),0.0000 (N=27),0.0244 (N=41),0.0000 (N=24),0.0000 (N=33),0.0000 (N=34),0.0000 (N=13),0.0000 (N=23),0.0000 (N=26),0.0000 (N=15)
Bow slipping,Age 6,0.8333 (N=54),0.6792 (N=53),0.7073 (N=41),0.5750 (N=40),0.6341 (N=41),0.5000 (N=40),0.4250 (N=40),0.2000 (N=40),0.0435 (N=23),0.0345 (N=29),0.2500 (N=32),0.4000 (N=15),0.7143 (N=7),0.0000 (N=8),0.1667 (N=6),0.8571 (N=7),0.7143 (N=7),0.0000 (N=6)
Bow slipping,Age 7,0.4857 (N=70),0.3846 (N=65),0.3404 (N=47),0.3226 (N=62),0.3390 (N=59),0.1628 (N=43),0.5882 (N=51),0.3636 (N=55),0.1389 (N=36),0.0741 (N=27),0.6585 (N=41),0.6250 (N=24),0.6667 (N=33),0.0882 (N=34),0.0000 (N=13),0.0870 (N=23),0.0000 (N=26),0.0667 (N=15)
Reading music,Age 6,0.5000 (N=54),0.3019 (N=53),0.4390 (N=41),0.5500 (N=40),0.4634 (N=41),0.6500 (N=40),0.8250 (N=40),0.7250 (N=40),0.3478 (N=23),0.6897 (N=29),0.7188 (N=32),0.6000 (N=15),0.4286 (N=7),0.7500 (N=8),0.3333 (N=6),0.4286 (N=7),0.0000 (N=7),0.1667 (N=6)
Reading music,Age 7,0.7143 (N=70),0.6615 (N=65),0.7234 (N=47),0.7581 (N=62),0.6271 (N=59),0.5116 (N=43),0.6667 (N=51),0.7273 (N=55),0.7778 (N=36),0.6296 (N=27),0.6585 (N=41),0.7500 (N=24),0.7576 (N=33),0.8235 (N=34),0.7692 (N=13),0.6522 (N=23),0.7308 (N=26),0.8667 (N=15)
Intonation,Age 6,0.0926 (N=54),0.2830 (N=53),0.2195 (N=41),0.2000 (N=40),0.3902 (N=41),0.3250 (N=40),0.5250 (N=40),0.4500 (N=40),0.7391 (N=23),0.4138 (N=29),0.4062 (N=32),0.5333 (N=15),0.8571 (N=7),0.8750 (N=8),1.0000 (N=6),0.8571 (N=7),1.0000 (N=7),1.0000 (N=6)
Intonation,Age 7,0.1857 (N=70),0.3231 (N=65),0.7021 (N=47),0.3548 (N=62),0.3559 (N=59),0.5349 (N=43),0.4902 (N=51),0.3636 (N=55),0.5278 (N=36),0.5556 (N=27),0.6585 (N=41),0.5833 (N=24),0.5455 (N=33),0.5294 (N=34),0.6923 (N=13),0.7391 (N=23),0.5000 (N=26),0.2000 (N=15)
Violin position,Age 6,0.2593 (N=54),0.0000 (N=53),0.0488 (N=41),0.1000 (N=40),0.2927 (N=41),0.2750 (N=40),0.3750 (N=40),0.2000 (N=40),0.3043 (N=23),0.1034 (N=29),0.2188 (N=32),0.4667 (N=15),0.0000 (N=7),0.0000 (N=8),0.0000 (N=6),0.1429 (N=7),0.0000 (N=7),0.0000 (N=6)
Violin position,Age 7,0.2286 (N=70),0.1385 (N=65),0.0426 (N=47),0.0806 (N=62),0.1695 (N=59),0.1628 (N=43),0.2157 (N=51),0.0364 (N=55),0.0000 (N=36),0.0000 (N=27),0.0488 (N=41),0.2083 (N=24),0.1818 (N=33),0.2059 (N=34),0.0000 (N=13),0.1739 (N=23),0.3077 (N=26),0.2000 (N=15)
Beat,Age 6,0.0926 (N=54),0.1132 (N=53),0.0732 (N=41),0.1000 (N=40),0.1220 (N=41),0.1250 (N=40),0.0250 (N=40),0.2500 (N=40),0.1304 (N=23),0.0000 (N=29),0.0938 (N=32),0.0000 (N=15),0.0000 (N=7),0.1250 (N=8),0.0000 (N=6),0.7143 (N=7),0.2857 (N=7),0.5000 (N=6)
Beat,Age 7,0.1714 (N=70),0.1231 (N=65),0.1489 (N=47),0.2419 (N=62),0.2712 (N=59),0.1395 (N=43),0.0000 (N=51),0.0727 (N=55),0.1944 (N=36),0.1852 (N=27),0.0244 (N=41),0.1667 (N=24),0.0606 (N=33),0.1471 (N=34),0.0769 (N=13),0.3478 (N=23),0.3462 (N=26),0.2000 (N=15)
Bow tilt,Age 6,0.0000 (N=54),0.1132 (N=53),0.0976 (N=41),0.1000 (N=40),0.0976 (N=41),0.1000 (N=40),0.0000 (N=40),0.2000 (N=40),0.0000 (N=23),0.0345 (N=29),0.0312 (N=32),0.0000 (N=15),0.0000 (N=7),0.0000 (N=8),0.0000 (N=6),0.1429 (N=7),0.2857 (N=7),0.1667 (N=6)
Bow tilt,Age 7,0.0714 (N=70),0.1692 (N=65),0.1915 (N=47),0.0968 (N=62),0.1356 (N=59),0.0233 (N=43),0.0392 (N=51),0.0000 (N=55),0.0000 (N=36),0.0000 (N=27),0.0488 (N=41),0.0000 (N=24),0.0000 (N=33),0.0000 (N=34),0.0000 (N=13),0.0000 (N=23),0.0000 (N=26),0.0000 (N=15)
Tempo,Age 6,0.0000 (N=54),0.0000 (N=53),0.0488 (N=41),0.0750 (N=40),0.0488 (N=41),0.0250 (N=40),0.1500 (N=40),0.0500 (N=40),0.0435 (N=23),0.0690 (N=29),0.2188 (N=32),0.2667 (N=15),0.0000 (N=7),0.0000 (N=8),0.0000 (N=6),0.1429 (N=7),0.0000 (N=7),0.0000 (N=6)
Tempo,Age 7,0.0857 (N=70),0.0615 (N=65),0.0426 (N=47),0.0968 (N=62),0.1017 (N=59),0.0698 (N=43),0.0392 (N=51),0.0545 (N=55),0.1111 (N=36),0.2222 (N=27),0.0732 (N=41),0.0417 (N=24),0.1818 (N=33),0.1765 (N=34),0.1538 (N=13),0.0870 (N=23),0.1538 (N=26),0.0000 (N=15)
Bow pressure,Age 6,0.1667 (N=54),0.1321 (N=53),0.1463 (N=41),0.2750 (N=40),0.3415 (N=41),0.2250 (N=40),0.1750 (N=40),0.0750 (N=40),0.1304 (N=23),0.1034 (N=29),0.0625 (N=32),0.0000 (N=15),0.0000 (N=7),0.0000 (N=8),0.0000 (N=6),0.0000 (N=7),0.0000 (N=7),0.0000 (N=6)
Bow pressure,Age 7,0.1571 (N=70),0.0923 (N=65),0.0426 (N=47),0.1129 (N=62),0.0508 (N=59),0.1163 (N=43),0.0196 (N=51),0.0909 (N=55),0.1389 (N=36),0.0741 (N=27),0.2195 (N=41),0.1250 (N=24),0.0909 (N=33),0.0294 (N=34),0.0000 (N=13),0.0000 (N=23),0.0385 (N=26),0.1333 (N=15)
Finger pressure,Age 6,0.0741 (N=54),0.2453 (N=53),0.0488 (N=41),0.1250 (N=40),0.0244 (N=41),0.0000 (N=40),0.2000 (N=40),0.0750 (N=40),0.0000 (N=23),0.2069 (N=29),0.0938 (N=32),0.0667 (N=15),0.0000 (N=7),0.0000 (N=8),0.0000 (N=6),0.0000 (N=7),0.0000 (N=7),0.0000 (N=6)
Finger pressure,Age 7,0.0000 (N=70),0.0000 (N=65),0.0000 (N=47),0.0000 (N=62),0.0000 (N=59),0.0000 (N=43),0.0000 (N=51),0.0364 (N=55),0.0000 (N=36),0.0370 (N=27),0.0244 (N=41),0.0000 (N=24),0.0000 (N=33),0.0294 (N=34),0.0769 (N=13),0.0435 (N=23),0.0769 (N=26),0.0667 (N=15)
Fingering,Age 6,0.0000 (N=54),0.0000 (N=53),0.0000 (N=41),0.0000 (N=40),0.0976 (N=41),0.2500 (N=40),0.2500 (N=40),0.3250 (N=40),0.1739 (N=23),0.1379 (N=29),0.1250 (N=32),0.0667 (N=15),0.0000 (N=7),0.7500 (N=8),0.5000 (N=6),0.1429 (N=7),0.1429 (N=7),0.5000 (N=6)
Fingering,Age 7,0.0000 (N=70),0.0769 (N=65),0.1277 (N=47),0.0323 (N=62),0.2542 (N=59),0.2558 (N=43),0.1176 (N=51),0.1455 (N=55),0.4722 (N=36),0.2593 (N=27),0.0732 (N=41),0.2917 (N=24),0.0909 (N=33),0.2941 (N=34),0.3077 (N=13),0.1304 (N=23),0.1923 (N=26),0.5333 (N=15)
Focus,Age 6,0.0185 (N=54),0.0566 (N=53),0.0488 (N=41),0.0250 (N=40),0.1220 (N=41),0.0250 (N=40),0.1750 (N=40),0.0500 (N=40),0.0870 (N=23),0.3793 (N=29),0.3125 (N=32),0.0000 (N=15),0.0000 (N=7),0.0000 (N=8),0.0000 (N=6),0.1429 (N=7),0.0000 (N=7),0.1667 (N=6)
Focus,Age 7,0.0143 (N=70),0.0154 (N=65),0.0213 (N=47),0.2419 (N=62),0.0339 (N=59),0.1628 (N=43),0.0392 (N=51),0.0182 (N=55),0.1111 (N=36),0.3704 (N=27),0.0976 (N=41),0.0833 (N=24),0.2727 (N=33),0.1765 (N=34),0.0769 (N=13),0.0000 (N=23),0.0769 (N=26),0.0000 (N=15)
Bow markings,Age 6,0.0000 (N=54),0.0000 (N=53),0.0000 (N=41),0.0000 (N=40),0.1220 (N=41),0.2000 (N=40),0.4500 (N=40),0.2750 (N=40),0.2609 (N=23),0.2759 (N=29),0.4688 (N=32),0.4667 (N=15),0.5714 (N=7),0.2500 (N=8),0.3333 (N=6),0.1429 (N=7),0.5714 (N=7),0.1667 (N=6)
Bow markings,Age 7,0.0000 (N=70),0.0000 (N=65),0.0000 (N=47),0.0000 (N=62),0.1525 (N=59),0.1163 (N=43),0.2941 (N=51),0.3091 (N=55),0.0556 (N=36),0.0741 (N=27),0.4634 (N=41),0.2083 (N=24),0.6364 (N=33),0.3824 (N=34),0.3846 (N=13),0.4348 (N=23),0.5769 (N=26),0.4000 (N=15)
Swaying,Age 6,0.0000 (N=54),0.0000 (N=53),0.0000 (N=41),0.0000 (N=40),0.0488 (N=41),0.0000 (N=40),0.0250 (N=40),0.0000 (N=40),0.0000 (N=23),0.0345 (N=29),0.0000 (N=32),0.0000 (N=15),0.0000 (N=7),0.0000 (N=8),0.0000 (N=6),0.0000 (N=7),0.0000 (N=7),0.0000 (N=6)
Swaying,Age 7,0.0000 (N=70),0.0000 (N=65),0.0000 (N=47),0.0000 (N=62),0.0000 (N=59),0.0000 (N=43),0.0000 (N=51),0.0000 (N=55),0.0000 (N=36),0.0000 (N=27),0.0000 (N=41),0.0000 (N=24),0.0000 (N=33),0.0000 (N=34),0.0000 (N=13),0.0000 (N=23),0.0000 (N=26),0.0000 (N=15)
Miscellaneous,Age 6,0.0741 (N=54),0.0377 (N=53),0.0000 (N=41),0.1250 (N=40),0.0488 (N=41),0.0250 (N=40),0.0000 (N=40),0.0000 (N=40),0.0000 (N=23),0.0345 (N=29),0.0625 (N=32),0.0667 (N=15),0.0000 (N=7),0.0000 (N=8),0.0000 (N=6),0.0000 (N=7),0.0000 (N=7),0.0000 (N=6)
Miscellaneous,Age 7,0.0714 (N=70),0.0615 (N=65),0.0213 (N=47),0.0645 (N=62),0.0678 (N=59),0.0698 (N=43),0.0000 (N=51),0.0182 (N=55),0.0000 (N=36),0.0370 (N=27),0.0488 (N=41),0.0000 (N=24),0.0606 (N=33),0.0294 (N=34),0.0000 (N=13),0.0435 (N=23),0.1154 (N=26),0.2667 (N=15)
